DR,Date,Month,Year,Block,Type,Week_Num,Number,Street,Address,Lat,Lon,Type_Num
1517897,2015-12-11,12,2015,200 Blk DEWDROP,Package,50,200,DEWDROP,"200 DEWDROP, Irvine, CA",33.651286299999995,-117.77717659999998,1
1517898,2015-12-11,12,2015,200 Blk DEWDROP,Package,50,200,DEWDROP,"200 DEWDROP, Irvine, CA",33.651286299999995,-117.77717659999998,1
1517906,2015-12-11,12,2015,0 Blk LEWIS                                                                           ,Vehicle,50,0,LEWIS,"0 LEWIS, Irvine, CA",33.701958000000005,-117.76680719999999,0
1517938,2015-12-12,12,2015,0 Blk WINDJAMMER,Package,50,0,WINDJAMMER,"0 WINDJAMMER, Irvine, CA",33.67748579999999,-117.81348909999998,1
1517944,2015-12-12,12,2015,900 Blk PICCOLO,Package,50,900,PICCOLO,"900 PICCOLO, Irvine, CA",33.6888636,-117.76070349999999,1
1517954,2015-12-12,12,2015,0 Blk PALMIERI AISLE,Package,50,0,PALMIERI AISLE,"0 PALMIERI AISLE, Irvine, CA",33.6869967,-117.8196189,1
1517989,2015-12-13,12,2015,900 Blk CONTESSA                                                                        ,Garage,50,900,CONTESSA,"900 CONTESSA, Irvine, CA",33.68831289999999,-117.7617567,2
1518007,2015-12-13,12,2015,13200 Blk JAMBOREE RD                                                                     ,Vehicle,50,13200,JAMBOREE RD,"13200 JAMBOREE RD, Irvine, CA",33.729572,-117.78658200000001,0
1517979,2015-12-13,12,2015,0 Blk WELLINGTON                                                                      ,Vehicle,50,0,WELLINGTON,"0 WELLINGTON, Irvine, CA",33.756376700000004,-117.818895,0
1517980,2015-12-13,12,2015,0 Blk JAPONICA                                                                        ,Vehicle,50,0,JAPONICA,"0 JAPONICA, Irvine, CA",33.6644646,-117.77948899999998,0
1518054,2015-12-14,12,2015,1100 Blk SOLVAY AISLE,Package,51,1100,SOLVAY AISLE,"1100 SOLVAY AISLE, Irvine, CA",33.6870324,-117.81104099999999,1
1518057,2015-12-14,12,2015,0 Blk RECODO,Package,51,0,RECODO,"0 RECODO, Irvine, CA",33.7210525,-117.75634450000001,1
1518144,2015-12-14,12,2015,200 Blk MURICA AISLE,Package,51,200,MURICA AISLE,"200 MURICA AISLE, Irvine, CA",33.6838049,-117.82656909999999,1
1518066,2015-12-14,12,2015,0 Blk DEER TRACK,Package,51,0,DEER TRACK,"0 DEER TRACK, Irvine, CA",33.702934,-117.72119769999999,1
1518044,2015-12-14,12,2015,200 Blk TROPEA AISLE,Package,51,200,TROPEA AISLE,"200 TROPEA AISLE, Irvine, CA",33.68716920000001,-117.8106297,1
1518012,2015-12-14,12,2015,0 Blk SUMMERSTONE                                                                     ,Vehicle,51,0,SUMMERSTONE,"0 SUMMERSTONE, Irvine, CA",33.6716731,-117.81801770000001,0
1518056,2015-12-14,12,2015,400 Blk FALLINGSTAR,Package,51,400,FALLINGSTAR,"400 FALLINGSTAR, Irvine, CA",33.6686665,-117.79687949999999,1
1518026,2015-12-14,12,2015,4200 Blk TRABUCO RD                                                                      ,Vehicle,51,4200,TRABUCO RD,"4200 TRABUCO RD, Irvine, CA",33.707843200000006,-117.7794595,0
1518037,2015-12-14,12,2015,0 Blk PARK PLZ                                                                        ,Vehicle,51,0,PARK PLZ,"0 PARK PLZ, Irvine, CA",33.6767705,-117.83788090000002,0
1518072,2015-12-15,12,2015,0 Blk ROOSEVELT                                                                       ,Vehicle,51,0,ROOSEVELT,"0 ROOSEVELT, Irvine, CA",33.69345870000001,-117.764551,0
1518123,2015-12-15,12,2015,700 Blk LAS PALMAS                                                                      ,Garage,51,700,LAS PALMAS,"700 LAS PALMAS, Irvine, CA",33.726122499999995,-117.7847041,2
1518093,2015-12-15,12,2015,0 Blk SKYWARD,Package,51,0,SKYWARD,"0 SKYWARD, Irvine, CA",33.690704700000005,-117.7491502,1
1518102,2015-12-15,12,2015,0 Blk ROBINS TREE LN,Package,51,0,ROBINS TREE LN,"0 ROBINS TREE LN, Irvine, CA",33.741584,-117.77116770000002,1
1518101,2015-12-15,12,2015,100 Blk PINEVIEW,Package,51,100,PINEVIEW,"100 PINEVIEW, Irvine, CA",33.7163617,-117.7574299,1
1518132,2015-12-16,12,2015,0 Blk TEAL                                                                            ,Vehicle,51,0,TEAL,"0 TEAL, Irvine, CA",33.683116600000005,-117.8020988,0
1518182,2015-12-16,12,2015,600 Blk MARKETVIEW                                                                      ,Vehicle,51,600,MARKETVIEW,"600 MARKETVIEW, Irvine, CA",33.7283272,-117.779376,0
1518134,2015-12-16,12,2015,0 Blk BLUEJAY                                                                         ,Vehicle,51,0,BLUEJAY,"0 BLUEJAY, Irvine, CA",33.6885222,-117.80182020000001,0
1518147,2015-12-16,12,2015,0 Blk EASTSHORE,Package,51,0,EASTSHORE,"0 EASTSHORE, Irvine, CA",33.6788977,-117.79213119999999,1
1518211,2015-12-17,12,2015,600 Blk SOLVAY AISLE,Package,51,600,SOLVAY AISLE,"600 SOLVAY AISLE, Irvine, CA",33.6865758,-117.810796,1
1518195,2015-12-17,12,2015,0 Blk GABLES                                                                          ,Vehicle,51,0,GABLES,"0 GABLES, Irvine, CA",33.6986739,-117.75758640000001,0
1518197,2015-12-17,12,2015,0 Blk GABLES                                                                          ,Vehicle,51,0,GABLES,"0 GABLES, Irvine, CA",33.6986739,-117.75758640000001,0
1518194,2015-12-17,12,2015,0 Blk GABLES                                                                          ,Vehicle,51,0,GABLES,"0 GABLES, Irvine, CA",33.6986739,-117.75758640000001,0
1518230,2015-12-17,12,2015,0 Blk TRAILING IVY                                                                    ,Vehicle,51,0,TRAILING IVY,"0 TRAILING IVY, Irvine, CA",33.7029002,-117.7593597,0
1518216,2015-12-17,12,2015,0 Blk CARVER                                                                          ,Vehicle,51,0,CARVER,"0 CARVER, Irvine, CA",33.7003581,-117.76643,0
1518200,2015-12-17,12,2015,7300 Blk SPECTRUM                                                                        ,Vehicle,51,7300,SPECTRUM,"7300 SPECTRUM, Irvine, CA",33.653372499999996,-117.7528983,0
1518244,2015-12-17,12,2015,900 Blk SPECTRUM CENTER DR                                                              ,Vehicle,51,900,SPECTRUM CENTER DR,"900 SPECTRUM CENTER DR, Irvine, CA",33.6490039,-117.7449429,0
1518279,2015-12-18,12,2015,0 Blk SALVIATI AISLE,Package,51,0,SALVIATI AISLE,"0 SALVIATI AISLE, Irvine, CA",33.68666270000001,-117.81885630000001,1
1518258,2015-12-18,12,2015,0 Blk ACROPOLIS AISLE                                                                 ,Garage,51,0,ACROPOLIS AISLE,"0 ACROPOLIS AISLE, Irvine, CA",33.6824288,-117.8264388,2
